Model,HR@10,MRR@10,NDCG@10,Coverage,N_users
Popularity,0.011893262496981406,0.005538042915789837,0.00698332668892026,0.15274949083503053,16564
User-CF,0.06960879014730742,0.036238443095180595,0.0440525420747159,66.53088934147998,16564
SVD-MF,0.01841342670852451,0.007373156740761184,0.009899485508169588,4.947386286490156,16564
