epoch,train_loss,val_loss,train_dice,val_dice
1,0.4947575628631035,0.49282132633603537,0.5839530229568481,0.6209922432899475
2,0.49342107345454006,0.49322601293142027,0.5848463177680969,0.61829674243927
3,0.49212573446557845,0.4909104575904516,0.5879980325698853,0.6159064173698425
4,0.4910464061990753,0.4905106998406924,0.5874448418617249,0.6196525692939758
5,0.48448567833999584,0.4890259757924538,0.601328432559967,0.6232780814170837
6,0.4814325896521266,0.4874021624429868,0.6067484617233276,0.625256359577179
7,0.4781550060251177,0.48761854148828065,0.6120476126670837,0.6271538138389587
8,0.47609014403885785,0.4880505040861093,0.6175091862678528,0.623845100402832
9,0.476130286970531,0.48929077186263525,0.6181913018226624,0.6260107159614563
10,0.47296416101993827,0.48918652749405456,0.6252697706222534,0.6218308210372925
